참조스트림  page_frame[0]   page_frame[1]   page_frame[2] 	페이지 폴트
    15	         25	         12	         15		PAGE FAULT
    20	         25	         20	         15		PAGE FAULT
    13	         25	         20	         13		PAGE FAULT
    1	         25	         20	          1		PAGE FAULT
    27	         25	         20	         27		PAGE FAULT
    19	         25	         20	         19		PAGE FAULT
    20	         25	         20	         19		          
    23	         25	         23	         19		PAGE FAULT
    17	         25	         23	         17		PAGE FAULT
    7	         25	         23	          7		PAGE FAULT
    25	         25	         23	          7		          
    30	         30	         23	          7		PAGE FAULT
    16	         30	         23	         16		PAGE FAULT
    11	         11	         23	         16		PAGE FAULT
    15	         15	         23	         16		PAGE FAULT
    29	         29	         23	         16		PAGE FAULT
    18	         18	         23	         16		PAGE FAULT
    22	         18	         23	         22		PAGE FAULT
    18	         18	         23	         22		          
    3	          3	         23	         22		PAGE FAULT
    28	         28	         23	         22		PAGE FAULT
    13	         13	         23	         22		PAGE FAULT
    23	         13	         23	         22		          
    27	         27	         23	         22		PAGE FAULT
    2	         27	          2	         22		PAGE FAULT
    21	         27	          2	         21		PAGE FAULT
    27	         27	          2	         21		          
    2	         27	          2	         21		          
    16	         27	          2	         16		PAGE FAULT
    30	         27	          2	         30		PAGE FAULT
    5	         27	          5	         30		PAGE FAULT
    30	         27	          5	         30		          
    11	         27	         11	         30		PAGE FAULT
    10	         10	         11	         30		PAGE FAULT
    22	         10	         22	         30		PAGE FAULT
    8	         10	         22	          8		PAGE FAULT
    28	         10	         22	         28		PAGE FAULT
    12	         10	         22	         12		PAGE FAULT
    22	         10	         22	         12		          
    6	         10	         22	          6		PAGE FAULT
    10	         10	         22	          6		          
    8	          8	         22	          6		PAGE FAULT
    28	         28	         22	          6		PAGE FAULT
    17	         17	         22	          6		PAGE FAULT
    18	         17	         18	          6		PAGE FAULT
    4	         17	          4	          6		PAGE FAULT
    7	         17	          7	          6		PAGE FAULT
    6	         17	          7	          6		          
    17	         17	          7	          6		          
    24	         24	          7	          6		PAGE FAULT
    30	         30	          7	          6		PAGE FAULT
    15	         30	         15	          6		PAGE FAULT
    29	         30	         29	          6		PAGE FAULT
    22	         30	         29	         22		PAGE FAULT
    3	         30	         29	          3		PAGE FAULT
    30	         30	         29	          3		          
    4	         30	         29	          4		PAGE FAULT
    30	         30	         29	          4		          
    1	         30	         29	          1		PAGE FAULT
    19	         30	         29	         19		PAGE FAULT
    29	         30	         29	         19		          
    6	         30	         29	          6		PAGE FAULT
    11	         30	         11	          6		PAGE FAULT
    10	         30	         10	          6		PAGE FAULT
    7	         30	          7	          6		PAGE FAULT
    24	         30	         24	          6		PAGE FAULT
    9	         30	          9	          6		PAGE FAULT
    26	         30	         26	          6		PAGE FAULT
    27	         30	         27	          6		PAGE FAULT
    22	         30	         22	          6		PAGE FAULT
    2	         30	          2	          6		PAGE FAULT
    6	         30	          2	          6		          
    30	         30	          2	          6		          
    29	         29	          2	          6		PAGE FAULT
    15	         29	          2	         15		PAGE FAULT
    9	          9	          2	         15		PAGE FAULT
    2	          9	          2	         15		          
    21	         21	          2	         15		PAGE FAULT
    14	         14	          2	         15		PAGE FAULT
    11	         11	          2	         15		PAGE FAULT
    15	         11	          2	         15		          
    5	         11	          2	          5		PAGE FAULT
    25	         25	          2	          5		PAGE FAULT
    5	         25	          2	          5		          
    18	         25	          2	         18		PAGE FAULT
    27	         25	         27	         18		PAGE FAULT
    4	         25	          4	         18		PAGE FAULT
    22	         25	         22	         18		PAGE FAULT
    18	         25	         22	         18		          
    26	         25	         26	         18		PAGE FAULT
    10	         25	         10	         18		PAGE FAULT
    17	         25	         17	         18		PAGE FAULT
    23	         25	         23	         18		PAGE FAULT
    12	         25	         12	         18		PAGE FAULT
    18	         25	         12	         18		          
    29	         25	         29	         18		PAGE FAULT
    6	         25	          6	         18		PAGE FAULT
    18	         25	          6	         18		          
    25	         25	          6	         18		          
    2	          2	          6	         18		PAGE FAULT
    9	          9	          6	         18		PAGE FAULT
    26	          9	         26	         18		PAGE FAULT
    30	          9	         30	         18		PAGE FAULT
    8	          9	          8	         18		PAGE FAULT
    16	          9	         16	         18		PAGE FAULT
    14	          9	         14	         18		PAGE FAULT
    9	          9	         14	         18		          
    9	          9	         14	         18		          
    4	          9	         14	          4		PAGE FAULT
    22	          9	         14	         22		PAGE FAULT
    19	          9	         14	         19		PAGE FAULT
    10	          9	         14	         10		PAGE FAULT
    27	          9	         14	         27		PAGE FAULT
    5	          9	         14	          5		PAGE FAULT
    14	          9	         14	          5		          
    14	          9	         14	          5		          
    24	          9	         24	          5		PAGE FAULT
    9	          9	         24	          5		          
    27	         27	         24	          5		PAGE FAULT
    11	         11	         24	          5		PAGE FAULT
    5	         11	         24	          5		          
    29	         29	         24	          5		PAGE FAULT
    19	         19	         24	          5		PAGE FAULT
    19	         19	         24	          5		          
    10	         10	         24	          5		PAGE FAULT
    28	         28	         24	          5		PAGE FAULT
    18	         18	         24	          5		PAGE FAULT
    7	          7	         24	          5		PAGE FAULT
    15	         15	         24	          5		PAGE FAULT
    4	          4	         24	          5		PAGE FAULT
    1	          1	         24	          5		PAGE FAULT
    24	          1	         24	          5		          
    21	          1	         21	          5		PAGE FAULT
